fold,sample_index,ground_truth,dataset_split,attribute,attribute_data,{Vi},{Ve},{Se},{Vi ∪ Ve},{Vi ∪ Se},{Ve ∪ Se},{Vi ∪ Ve ∪ Se}
4,0,Setosa,train,SL,5.1,0.0,0.0,0.8544,0.0,0.0,0.1206,0.025
4,0,Setosa,train,SW,3.5,0.0,0.0,0.6919,0.0,0.237,0.0,0.0711
4,0,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1,Setosa,train,SL,4.9,0.0,0.0,0.9331,0.0,0.0,0.0551,0.0118
4,1,Setosa,train,SW,3.0,0.4206,0.0,0.0,0.3668,0.0,0.0,0.2127
4,1,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,2,Setosa,train,SL,4.7,0.0,0.0,0.9659,0.0,0.0,0.0276,0.0065
4,2,Setosa,train,SW,3.2,0.3917,0.0,0.0,0.0,0.3774,0.0,0.2309
4,2,Setosa,train,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,2,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,4,Setosa,train,SL,5.0,0.0,0.0,0.9022,0.0,0.0,0.0809,0.0169
4,4,Setosa,train,SW,3.6,0.0,0.0,0.7804,0.0,0.178,0.0,0.0416
4,4,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,4,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,5,Setosa,train,SL,5.4,0.0,0.0,0.5434,0.0,0.0,0.3719,0.0847
4,5,Setosa,train,SW,3.9,0.0,0.0,0.9378,0.0,0.0564,0.0,0.0058
4,5,Setosa,train,PL,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,5,Setosa,train,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,6,Setosa,train,SL,4.6,0.0,0.0,0.9743,0.0,0.0,0.0205,0.0052
4,6,Setosa,train,SW,3.4,0.0,0.0,0.5892,0.0,0.2976,0.0,0.1131
4,6,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,6,Setosa,train,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,7,Setosa,train,SL,5.0,0.0,0.0,0.9022,0.0,0.0,0.0809,0.0169
4,7,Setosa,train,SW,3.4,0.0,0.0,0.5892,0.0,0.2976,0.0,0.1131
4,7,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,7,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,8,Setosa,train,SL,4.4,0.0,0.0,0.9837,0.0,0.0,0.0125,0.0039
