fold,sample_index,ground_truth,dataset_split,attribute,attribute_data,{Vi},{Ve},{Se},{Vi ∪ Ve},{Vi ∪ Se},{Ve ∪ Se},{Vi ∪ Ve ∪ Se}
1,0,Setosa,train,SL,5.1,0.0,0.0,0.8124,0.0,0.0,0.1583,0.0293
1,0,Setosa,train,SW,3.5,0.0,0.0,0.7157,0.0,0.2264,0.0,0.0578
1,0,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,3,Setosa,train,SL,4.6,0.0,0.0,0.9507,0.0,0.0,0.0426,0.0068
1,3,Setosa,train,SW,3.1,0.4523,0.0,0.0,0.2788,0.0,0.0,0.2689
1,3,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,3,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,4,Setosa,train,SL,5.0,0.0,0.0,0.8663,0.0,0.0,0.1137,0.0199
1,4,Setosa,train,SW,3.6,0.0,0.0,0.8147,0.0,0.1539,0.0,0.0314
1,4,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,4,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,5,Setosa,train,SL,5.4,0.0,0.0,0.4844,0.0,0.0,0.4174,0.0982
1,5,Setosa,train,SW,3.9,0.0,0.0,0.9662,0.0,0.0307,0.0,0.0032
1,5,Setosa,train,PL,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,5,Setosa,train,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,6,Setosa,train,SL,4.6,0.0,0.0,0.9507,0.0,0.0,0.0426,0.0068
1,6,Setosa,train,SW,3.4,0.0,0.0,0.598,0.0,0.3048,0.0,0.0972
1,6,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,6,Setosa,train,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,7,Setosa,train,SL,5.0,0.0,0.0,0.8663,0.0,0.0,0.1137,0.0199
1,7,Setosa,train,SW,3.4,0.0,0.0,0.598,0.0,0.3048,0.0,0.0972
1,7,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,7,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,8,Setosa,train,SL,4.4,0.0,0.0,0.9605,0.0,0.0,0.034,0.0056
1,8,Setosa,train,SW,2.9,0.4393,0.0,0.0,0.4174,0.0,0.0,0.1433
1,8,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,8,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,9,Setosa,train,SL,4.9,0.0,0.0,0.902,0.0,0.0,0.0839,0.0141
1,9,Setosa,train,SW,3.1,0.4523,0.0,0.0,0.2788,0.0,0.0,0.2689
1,9,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,9,Setosa,train,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,10,Setosa,train,SL,5.4,0.0,0.0,0.4844,0.0,0.0,0.4174,0.0982
1,10,Setosa,train,SW,3.7,0.0,0.0,0.888,0.0,0.0962,0.0,0.0157
1,10,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,10,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,11,Setosa,train,SL,4.8,0.0,0.0,0.9254,0.0,0.0,0.0641,0.0105
1,11,Setosa,train,SW,3.4,0.0,0.0,0.598,0.0,0.3048,0.0,0.0972
1,11,Setosa,train,PL,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,11,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,12,Setosa,train,SL,4.8,0.0,0.0,0.9254,0.0,0.0,0.0641,0.0105
1,12,Setosa,train,SW,3.0,0.455,0.0,0.0,0.3485,0.0,0.0,0.1965
1,12,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,12,Setosa,train,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,13,Setosa,train,SL,4.3,0.0,0.0,0.9619,0.0,0.0,0.0326,0.0055
1,13,Setosa,train,SW,3.0,0.455,0.0,0.0,0.3485,0.0,0.0,0.1965
1,13,Setosa,train,PL,1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,13,Setosa,train,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,15,Setosa,train,SL,5.7,0.0,0.6657,0.0,0.2232,0.0,0.0,0.111
1,15,Setosa,train,SW,4.4,0.0,0.0,0.9992,0.0,0.0007,0.0,0.0
1,15,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,15,Setosa,train,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,17,Setosa,train,SL,5.1,0.0,0.0,0.8124,0.0,0.0,0.1583,0.0293
1,17,Setosa,train,SW,3.5,0.0,0.0,0.7157,0.0,0.2264,0.0,0.0578
1,17,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,17,Setosa,train,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,18,Setosa,train,SL,5.7,0.0,0.6657,0.0,0.2232,0.0,0.0,0.111
1,18,Setosa,train,SW,3.8,0.0,0.0,0.9367,0.0,0.056,0.0,0.0073
1,18,Setosa,train,PL,1.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,18,Setosa,train,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,19,Setosa,train,SL,5.1,0.0,0.0,0.8124,0.0,0.0,0.1583,0.0293
1,19,Setosa,train,SW,3.8,0.0,0.0,0.9367,0.0,0.056,0.0,0.0073
1,19,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,19,Setosa,train,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,21,Setosa,train,SL,5.1,0.0,0.0,0.8124,0.0,0.0,0.1583,0.0293
1,21,Setosa,train,SW,3.7,0.0,0.0,0.888,0.0,0.0962,0.0,0.0157
1,21,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,21,Setosa,train,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,22,Setosa,train,SL,4.6,0.0,0.0,0.9507,0.0,0.0,0.0426,0.0068
1,22,Setosa,train,SW,3.6,0.0,0.0,0.8147,0.0,0.1539,0.0,0.0314
1,22,Setosa,train,PL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,22,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,24,Setosa,train,SL,4.8,0.0,0.0,0.9254,0.0,0.0,0.0641,0.0105
1,24,Setosa,train,SW,3.4,0.0,0.0,0.598,0.0,0.3048,0.0,0.0972
1,24,Setosa,train,PL,1.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0
